Topic,Count,Name,Representation,Representative_Docs
54,100,54_avenida_precio_xcaret_comprar,"['avenida', 'precio', 'xcaret', 'comprar', 'obtener', 'espectaculo', 'bolsa', 'vender', 'pesos', 'tienda']","['marido ninos edades tomaron viaje ninos obtuvieron edad gratis pagado xcaret plus paquete incluido comida cerveza casillero transporte hotel costo sentado hoteles argumento venta obtuvo precio autobus recogio parar resort elegir invitados dejar gente area autobus xcaret video visto parques espanol guia autobus tiempos recogida parque llega parque vio ceremonia lectura genial resenas anteriores advirtieron rios estaria super lleno caso tiempo correcto familia rios subterraneos lugar increible anos viejo recomendaria pensar experiencia rio obtenido vi abarrotado convirtio agua superficial partes claras profundo oscuro cueva ano viejo perdido nadar encontrado proporcionar bolsas cerradura casilleros transporte rios extremo ropa seca articulos recomendado telefono celular bolso camara deseo rio subterraneo cerrar playa hermosa bolsa facilmente mantendria telefono celular seguro seco seguro preocupacion quiero vender paquete fotos comprar quiero equipo camara perdido camino minutos atras casilleros obtener telefonos tomar fotos realidad alegro volando hombres pajaros mostrar comenzar fortuna botellas empacadas agua contento parque acuatico barato empacado refrigerios guardados casillero precio pagado comida permitimos bolsa entrar trae punto protector solar ecologico familias cosas ecologicas usadas comprar crema recomendada tiendas regalos esperado comer almuerzo sabia cerraria pense comida planee quedarme mostrar comida frente mar servicio mariscos excelente marido cerveza incluido boleto comida molestarse marido preferiria dejado pensando obtener comida familia enfermo abierto caliente basico abierto comer pregunta resto mariscos preparado comer riesgo familia eligio snorkel area ocupada tiempo ano viejo mascara snorkel forma conocido empacaria equipo funciona xcaret mantener tubo snorkel reclamo hombre tubos snorkel llenos parque reclamos respetuoso ambiente desperdicio ven problema camino oferta actividades extra pagadas snuba delfines tiburones mantarrayas pagado suficiente entrada parque ninos jovenes realmente preocupan ninos amaban mundo ninos parque aventuras ano nadador capaz cuerdas problema edad personal letrero participar ninos chalecos salvavidas actividades acuaticas pequena piscina chapoteo ano edad disfruto espectaculo noche increible partes caidas calidad caballo preocupado parecia pierna claramente dolor vino ayuda escenario esperanza espectaculo teatro caballos aire libre caliente cubierto obtener minutos espectaculo comienza asiento animales parecen espacio zoologicos mundo parque criaturas cautivas animales parecen cuidados personal realmente amar ninos pequenos tocaron tortugas mencionaron correr cabina snorkel derecha ninos detuvieran senales partes tocar alimentar animales dirian deseo compraria pase adicional creer promocion uso tarjeta credito obtener mitad precio cosas visitar seguro cosas traen protector solar ecologico repelente insectos toallas gente espacio casilleros refrigerios agua premium trajes bano ropa seca equipo snorkel ninos anos zapatos agua piscinas naturales espectaculo fans noche camara telefono celular elegir comprar paquete fotos cosas necesarias toallas cosas ducha sudor modos partes cochecito dificil moverse', 'generalmente vino experiencia amable viajar siente cultura local decepcionante presion frontal vender duro calle queria probar xcaret dinero leer resenas internet encontro valga pena visitar leer obtener idea clara aventura cosa cultura xcaret mostrar jugar atracciones especiales iria vale pena oferta cara parque tematico sonido creado turistas oferta mexico turistas realmente importa cultura querer diversion presion vender termino comprando cosas tienda souvenirs feliz devolver dinero proporciona cantidad orgullo mexicano espectaculo nocturno enorme seguido consejo evitado rios comienzo perfecto trajo comida bebida noche necesito comprar cosa precios razonables comida comprada mexico guiado turistas americanos precios atracciones parecen atractivos turistas vienen entender molesto comprado xcaret eleccion casilleros ropa limpia agua noche refrigerios noche paquete toalla agua fotos bolsas plastico cosas mojadas casilleros cierran bolsas proporcionadas comienzo rio regreso rio gente uso derecho rio paraiso caminar viaje bote hermoso amado llegar senales rio paraiso caminar elegir rio paraiso trae lugar camino caminar minutos facilmente rapido regreso fotos magicas vida gente impresionante ninos encontraron aburrido entender amado buscar animales mirando decepcionado aviario mariposas agradable caidas recientemente parque ok agradable caminar decepcionado hermoso pajaro azul hermoso mundo aves parecia recinto vacio comida agua seccion isla jaguar decepcionante probablemente vio gatos dormidos distancia miles turistas vienen parecen suficiente espacio caracteristica tiempo alimentacion mirar definitivamente iria almuerzo encabezado buffet mariscos incluido xcaret plus paquete amor seleccion pescado realmente completamente relleno izquierdo molestar bebida elegante intentar vender presupuesto abundante agua buffet vino interesante servicio suave parque pequeno sentarse delfines delfin experiencias encantadoras descansar parecia querer jugar interactuar mantuvo mirando espectaculo saltos playas bonitas playas bonitas quedaron preciosas agua hotel apariencia nadar olas agua plana calida cristalina areas seguras ninos nadan hamacas playa parecia popular vuelta pagaria entrada segura tranquila hermosa playa lejos playas cercanas vale pena paso acuario tortugas tiburones mantarrayas manaties comienzan rios flotar hermosos animales parecian felices acuarios pagamos entrada xcaret vi cerca gusto sentir espectaculo sentirse pueblo maya agradable podia local dinero talleres divertido coco chocolate pensamiento volveria rios cabeza extremo entro xcaret agua corriente inicialmente fria encantadora flota nadadores fuertes nadadores rio preferido subterraneo secciones oscuras ninos quieren familia tomar impermeable cabeza secciones oscuras monton personas paquetes fotos parecian verse feliz camara impermeable agua honesta foto agua necesaria tiempo rios tranquilos generalmente alguien parecia lleno casilleros ducha cambiado ropa noche gente parecia snorkel vivo cerca impresionante relativamente arrecife snorkel especialmente areas gente aprenderia excelente facil aguas alguien sugirio torre cosa perspectiva parque parecia jungla piscinas ayuda agradable relativamente pequeno parque parecia matar tiempo espectaculos espectaculo caballos visto espectaculos caballos caballos impresionante amados animales espectaculo nocturno evento definitivamente perderse produccion ejecuta noches ano gente disenado resaltar importantes eventos historicos liderar mayas actual mexico deportes usado jugar increible musica bailando excelente espectaculo sentido linea paredes cerca entrada ayuda espanol rodeado encantador mirar orgullo creado mostrar presente luz positiva encantador izquierda decidido visitar tienda recuerdos cerca entrada complacido recuerdos mexico compro cosas tiendas recuerdos ropa recuerdos hechos encontrado realmente decepcionante fantastico agotador volveria mexico probablemente quedaria hotel xcaret', 'revision proporcionar informacion reservar viaje xcaret obtener finalmente informacion parque proporcionando resenas obtener dinero pesos dolar barato pesos pesos camino punto caso pregunto taxi aeropuerto minutos distancia hotel pesos derecho tarifa actual pesos dolares estadounidenses tarifa pesos terrible nota propina cualquiera brinda servicio resorts personas incluidas terrenos reciben pago hora piense pagar lugar incluido incluyendo estadia comer bebida dependiendo bebidas alcoholicas habitacion necesita mantenimiento terrenos personal recepcion ayuda conducir aviso generalmente pequeno inicio carretera necesita perspectiva experiencia capaz viaje parque esposa anos matrimonio realidad viaje ninos viajes miembros familia amigos reserva tour xcaret permiso viaje itinerario planificados costo logistica bolsa planificada empaquetada semana anticipacion volar excursiones reservadas imprimir itinerario calculado leer resenas viajes hoteles reservar excursiones calculado comeria costo extra calculado cobraria gratamente sorprendido precios comparables mejores opciones linea reservar excursion sitio web xcaret esperar obtener trabajo hotel agencia viajes opcion realmente multiples tours excursiones sitio web xcaret tours parques obtener descuento sugerir tour xcaret plus diferencia real incluye equipo snorkel traido cargo separado incluye buffet visita area acceso instalaciones practicamente significa edificio marcado xcaret plus acceso indicar lugares obtener equipo rios subterraneos precio xcaret sitio web transporte recorrido basico transporte buffet dependiendo cerca xcaret grupos personas sentido tomar taxi lugar pagar personas transportadas minutos distancia costaria sentido selecciones autobus hotel definitivamente sugiere comer buffet comida comparacion hotel buffet pareja restaurantes comer elegido buffet internacional mariscos mexicanos filete pollo parrilla increibles precios regreso reservar hotel viajes agencia viajes ayuda reservar tours excursiones obtener tours costo oferta ruedas agregar tours excursiones obtener descuento precio completo xcaret xel persona regreso viaje miro precios pagar barato reservar paquete xcaret xel sitio web xcaret obtener tomo agencia viajes problemas construccion boletos manana autobus realmente personas autobus calculando problemas parque sabia parque jungla esperaria senderos caminar jungla llegaria lugar inicialmente caminar parque tienda regalos mira decidir pasar fotos lugares parque escanear pulsera tomar foto telefono camara noto gente tomo guardia foto tomada fotos problema tomar foto querer creer pase foto tomar fotos tomar creer incluir personas fotos tomar incluido navegar hamacas salir bifurcacion mexico espectaculo derecho rios subterraneos senderos parque descanso derecha caracteristicas animales acuaticos parque senderos codificados colores traer areas actividades animales acuaticos azules animales acuaticos blancos snorkel verde pagar actividades extra tomo pense gente rio subterraneo sudar pequeno animal pista larga caminata tuneles realmente genial aviario pajaros caminar lluvia cruzar puente madera paso alto cascadas llegar pueblo vender santuario jaguar vio arbol pumas decidio interesante salto jaguares area salida sendero rojo senderos mapas exactamente dificil seguir snorkel entrada equipo usado seguro costo entrada hermoso lleno gafas gafas mirando areas agua nublado parecia corriente agua tipo fuerte empuje entrada cuidadoso peces entrada oceano comienza palo escaleras puente snorkeling agarro comida buffets llamado buffet internacional buffets xcaret comida mexicana mariscos sugerir mano platos pescado gente filete parrilla pollo parrilla comida comenzo preparese rios subterraneos emocionado principal atracciones comenzaron llover cerca entrada rios subterraneos milla agua estancada enorme poste madera suelo corrimos camino descanso casilleros area acceso rio pregunto personal rios subterraneos ok hora abierto decidio esperar preguntaron asegurarse rio abierto dijera sucede obtener casillero cosas regrese bolsa unidad recoger rio bolsa opcion dejenos objetos valor obtener casillero tuneles caminados entradas rios reunieron paseo seguridad rios punto cerrado lluvia movida esperar escuchar minutos llover completo minutos actividades acuaticas descanso especialmente abierto camino regreso casilleros obtuvo bolsa pregunto bolsa entrego salida rio dama esposa caminando pies parque coge sandalias envia recupera bolsa alejo alguien recibio avisarnos iba suceder minutos tipo viene caminando pregunto cruzo parque regreso conducir sintio terrible zapatos caminar cosas casilleros comenzaron caminar encontrar espectaculo noche vio entrada rio pregunto rio cerrado podia minutos cerrado descanso noche abierta rapidamente apurado puso cosas bolsa agarro cosas corrio escaleras rio salto rios seguro experiencia viaje rio azul rio subterraneo emociones cambiaron viaje minutos comenzo nadar esperanza corriente rio comenzara empujarnos rapidamente encontro corriente pateando nadando camino salir viaje tratar flotar tomar doble tiempo salir camino quiero continuar nadando paseo salir rio quiero continuar lejos salida salida decidido continuar completamente subterraneo luces artificiales cien pies oscuro fresco agujeros superficie trae luz natural emociones cambiaron rapido esposa asusto asustado sentir camino gente cueva agua vimos luz idea acerco sucedio esforzo esposa finalmente miembro parque aparecio comenzo nadar asegurandose puntos salida sabiendo puso estresante mantenerse terminado rio vino volando tunel llegando tunel siguio volando luz atras aparecio murcielago colgando pajaros vio usualmente esposa emociones continuaron sintio grupo atrapo siguio asumio salio comido agua nadando constantemente aletas curso agarrar pared tirar patear pared asustado siguientes partes pared tunel tocar pared pies consiguio piernas cueva enfrio tuneles abiertos pierna cuerdas tirar tunel abierto pierna ancha tirar rio pierna rio supuestamente totalmente abierto nadar arboles afuera pensar experiencia haria gente nadando riegue llover seguridad preocupada niveles agua tuneles tuneles definitivamente apreciar finalmente cosas casillero comenzo caminar mexico espectacular espectaculo parque parecia gente pueblo playa actividades acuaticas cerradas espectaculo minutos lleno espectaculo personas general ok horas duracion partes interesantes historia difusion mexico cultura mexico herencia vestido baile general disgustado principalmente comunicacion gente especialmente persona rio deja llover libro tour xcaret pase altamente sugiero obtener atracciones espectaculos espectaculos parque altamente sugiero gente baile subir poste caida empieza girar poste musica genial reloj increible espero ayude resenas giras incluyendo xel']"
55,99,55_atardeceres_atardecer_amaneceres_hermosos,"['atardeceres', 'atardecer', 'amaneceres', 'hermosos', 'sol', 'espectaculares', 'vista', 'jupiter', 'hermoso', 'venus']","['hermoso malecon increibles atardeceres', 'hermoso atardeceres increibles', 'hermoso atardeceres increibles']"
56,97,56_paz_playas_cabo_bcs,"['paz', 'playas', 'cabo', 'bcs', 'balandra', 'hermosa', 'visitar', 'playa', 'hermosas', 'limpia']","['playas paz agradable', 'playa hermosa paz', 'hermosa playa paz']"
57,97,57_california_baja_museo_historia,"['california', 'baja', 'museo', 'historia', 'sur', 'pinturas', 'rupestres', 'peninsula', 'sudcaliforniano', 'interesante']","['museo completo historia baja california sur', 'excelente museo historia baja california sur ciudad paz', 'interesante historia baja california baja california sur']"
58,96,58_mujer_chica_panoramica_fondo,"['mujer', 'chica', 'panoramica', 'fondo', 'cuerpo', 'pie', 'oceano', 'posando', 'sentada', 'mirando']","['mujer bikini morado playa pie playa chica imagen cuerpo completo fondo playa imagen superior cuerpo mujer playa vista panoramica chica posando playa oceano vista panoramica centrada chica japon viajar aventura angular cuerpo completo playa pie boracay playas blancas', 'mujer pie playa vista panoramica playa mujer chica pie playa chica playa chica playa mirando olas mar foto cuerpo completo bikini playa pie vista panoramica centrada playa chicas playa borde exterior playa playa pie arena hermosa playa', 'mujer pie playa mirando oceano chica mirando olas mar vista panoramica chica mujer playa vista panoramica centrada chica fondo oceano distancia sirena playa perdida mirando oceano fondo oceano chica pie playa fondo playa paraiso']"
59,94,59_paraiso_qui_ordenado_recomendable,"['paraiso', 'qui', 'ordenado', 'recomendable', 'cuidado', 'conservado', 'vengan', 'bandacaramelo', 'chingoneria', '2qui']","['paraiso', 'paraiso cuidado', 'dije cruzaria irla encontrar olvida encendedor chaaaale rodando suelo riendo cara cansada cara ojo asomando cacaluta sacalabacha weedlife huatulco']"
60,94,60_botanico_jardin_tema_plantas,"['botanico', 'jardin', 'tema', 'plantas', 'vallarta', 'agradece', 'volveria', 'esperaba', 'respiro', 'hojas']","['excelente visita jardin botanico vallarta vale visita gusta naturaleza tema atencion pareja noche movimos pie complicarnos parada recomendable gente disfrutar', 'experiencia jardin botanico vallarta vale visita gusta naturaleza tema servicio amigos semana puntos tomar fotos quede ganas repetir sintio comodo', 'visita jardin botanico vallarta recorrido disfrutable tema atencion pareja noche conviene tiempo prisa vale pena sintio comodo']"
61,92,61_depredador_pelicula_filmado_helicoptero,"['depredador', 'pelicula', 'filmado', 'helicoptero', 'eden', 'tirolesa', 'filmada', 'restaurante', 'cuerda', 'cascada']","['paseo obtener recorridos largos turista incluir paradas joyeria salir media hora animo compras sentido parada fabrica tequila recorrido espectaculo tequila obtener eden idea depredador filmado lugar basicamente comer pequeno rio rodeado naturaleza lindo vale pena pasar querer experiencia emocionante espectaculo tirolesa helicoptero aparecio pelicula depredador figura depredador', 'encontrar camino trillado sur vallarta recorrido privado guia llevo eden punto consciente pelicula depredador filmada pelicula helicoptero', 'encontrar camino trillado sur vallarta recorrido privado guia llevo eden punto consciente pelicula depredador filmada pelicula helicoptero']"
62,90,62_mosquitos_repelente_insectos_picaduras,"['mosquitos', 'repelente', 'insectos', 'picaduras', 'jardin', 'lleven', 'botanico', 'arqueologica', '15', 'vimos']","['vayan preparados repelente mosquitos', 'lugar interesante repelente mosquitos necesario', 'bonito recomiendo repelente insectos disfrutar mosquitos']"
63,82,63_comida_rica_super_lugar,"['comida', 'rica', 'super', 'lugar', 'deliciosa', 'amable', 'pse', 'comer', 'limpio', 'fenomenal']","['excelente lugar comida', 'hermoso lugar personal amable super atento comida rica tirolesa super personal seguridad', 'hermoso lugar personal amable super atento comida rica tirolesa super personal seguridad']"
64,78,64_pan_pedimos_sopa_fajitas,"['pan', 'pedimos', 'sopa', 'fajitas', 'camarones', 'sabor', 'carne', 'frances', 'comida', 'plato']","['parado almuerzo recorrido comida excelente caro enorme camarones pollo estaria lleno plato fajitas camarones plato area bano rio restaurante tirolesa tarifa comida hermoso entorno', 'recibimos recomendaciones venir lugar altura expectativas terrible comparado excelentes criticas recomendaciones recibe gente encanta relacion calidadprecio comimos entrada platos fuertes postre cocteles 979 familia pidio empanada queso huitlacoche relleno rico masa pastosa gruesa empanadas podriamos compartido platos fuertes tibios calientes hubieran reposando rato servirlos pedimos terra mar gusto soso gusto salsa queso acompanaba guarniciones vegetarianas faltaba sabor pedimos camaron rellano platos ensalada refrescante pastel zanahoria porcion enorme imagino lei usuario comentaba porciones vuelto pequenas pastel pasas margarita sabor tequila sangria jugo vino', 'restaurante lindo visualmente mesera atendio amable servicio rapido personalmente pedi gusto platillos familia agrado pedi huevos bolonesa smothie mango naranja podiamos irnos probar pan frances coco   compartir gusto recomiendo pan frances rico volveria comer orden pan frances coco cuentan estacionamiento punto tomar quieran desayunar comer cenar lugar dificil estacionamiento cerca anteriormente recomendado pastel zanahoria   rico tuve oportunidad probar mayoria pasteles definitivamente zanahoria favorito costoso pasteles zona vale pen']"
65,78,65_isla_espiritu_leones_santo,"['isla', 'espiritu', 'leones', 'santo', 'paz', 'bote', 'norte', 'balandra', 'bahia', 'ceviche']","['isla espiritu santo paz alrededores paz baja cosas hotel maravilloso desayuno hotel lejos playa agradable limpio servicio agradable sorpresa llamado lugar ballenas frente ballenas video ballenas lejos diga ballenas caparazones tortuga tipos tiburones lugar baja ballenas anos condujo playa vista tranquila agua fria camino playa disfruto tomo minutos condujo playa comer playa reserva natural sitio ceviche feliz esperar cena importante fuerte olas completo delicioso sentir pies coche alquilado condujo mirar hotel hotel quieto partes visitar agradable isla espiritu santo bahia paz camino compania grupos delfines suerte vi ballenas mostraron atras isla vio colonia leones oido problema seguro sonido vino cuerpo gente barco nadando cerca leones regresando paz barco pequena playa isla espiritu santo agradable playa paz condujo sur paz conocido vista maravillosa lugar bahia barcos pesca viniendo playa bonita calma lugar nadar pequenas rocas arena podia sentir lugar pies condujeron enorme viento soplando fuerte cielo proxima playa colores tiempo podia movido viento lugar disfrute visitar paz lugares comer paz lugares maravillosos almuerzo convirtio paz clase mundial lugar almuerzo ceviche ceviche pescado rojo cocido palito pescado pequeno ceviche restaurante llamado rojo maravilloso caliente fuertemente recomiendo vino lugar llamado pescado amable pescado local preparar ceviche pescado maravilloso volver paz disfrute lugar entorno quiero volver pescado ceviche pescado preparar esperar minutos capaz moverse pensando ballena salio superficie aire fresco regresa profundo buscando comida', 'recorrido isla espiritu santo camino oficina turismo malecon paz camioneta escogida comenzar recorrido isla espiritu santo camioneta parada completo recoger gente fiesta minutos camioneta tirada manejando malecon ciudad norte oficina camioneta cheque espera corta chalecos salvavidas trajes neopreno personas condujeron bote saliendo tabla gente guia comenzo decirnos viento recogiendo palo decidido costa occidental isla espiritu santo capitan dirigio punta norte alla leones viaje clima caliente ventoso bote norte camino millas costa isla baja guias ballena derecho dirigiendose capitan bote aire agua soplado aire vimos atras ballena lentamente vista paloma guia minutos ballena continuaria viaje norte paso agua rocosa piqueros colinas vio barcos agua gente chalecos salvavidas salto agua siguiendo guias costa rocosa pequena isla casa leones llamados islotes espanoles pequena isla norte espiritu aguas isla cerca costa rocosa leones llenos comenzaron ladrar recogidos costa punto comenzaron sacar trajes neopreno recogiendo mascaras equipo snorkel provisto equipo personas sacaron equipo buceo tanques buceo estadia larga agua superficial guia llamo corto agua grupo leones movio bote salto guia agua escogio pequena vida resbalo agua grupo camino agua regreso bote siguiendo guia costa leones saliendo guia supieran leones podian jugueton chalecos salvavidas grupo sucedio leones nadaron bote siguieron grupo buceadores costa nadaron cerca grupo acerco cueva grupo siguio guia mirando cabeza pez guia cueva orilla bote capitan observo area botes movio bote grupos terminaria minutos grupos agua comenzaron regreso bote historias leon marino viendo tipos peces barco dirigio isla espiritu pequena cala tabla grupo deslizo atras agua arrecife coral peces nadaron area arrecife llegaron playa llamado regreso capitan barco alejo barco isla sitio detuvo minutos buzos agua vieron burbujas regresando finalmente tabla grupo buzos guias prepararon almuerzo peces buzos vinieron trajes neopreno regresaron capitan unio grupo delfines vieron saltar alto aire izquierdo capitan barco giro barco olas pies alto delfines comenzaron saltar olas jugaron olas minutos acercaron barco lados nadando lejos vista viaje leones snorkel completo esperar horas necesita chaqueta sombrero viento bote volver olvidar comer desayuno almuerzo grupo viaje abundante trajes neopreno ayudaron mantener alejada agua fria temperatura agua mala natacion leon nadar elegir bote usado trajes neopreno guias conocedor historia formas isla leones ven peces calas llamaron juntos decirnos focas entorno isla grupo gente disfruto sitios movidos bote grupos sentirian abandonados tour punto completo cerca agua saltar alto aire duda recomendaria tomarse tiempo tomar recorrido espiritu excursiones isla ven paz', 'recorrido isla espiritu santo camino oficina turismo malecon paz camioneta escogida comenzar recorrido isla espiritu santo camioneta parada completo recoger gente fiesta minutos camioneta tirada manejando malecon ciudad norte oficina camioneta cheque espera corta chalecos salvavidas trajes neopreno personas condujeron bote saliendo tabla gente guia comenzo decirnos viento recogiendo palo decidido costa occidental isla espiritu santo capitan dirigio punta norte alla leones viaje clima caliente ventoso bote norte camino millas costa isla baja guias ballena derecho dirigiendose capitan bote aire agua soplado aire vimos atras ballena lentamente vista paloma guia minutos ballena continuaria viaje norte paso agua rocosa piqueros colinas vio barcos agua gente chalecos salvavidas salto agua siguiendo guias costa rocosa pequena isla casa leones llamados islotes espanoles pequena isla norte espiritu aguas isla cerca costa rocosa leones llenos comenzaron ladrar recogidos costa punto comenzaron sacar trajes neopreno recogiendo mascaras equipo snorkel provisto equipo personas sacaron equipo buceo tanques buceo estadia larga agua superficial guia llamo corto agua grupo leones movio bote salto guia agua escogio pequena vida resbalo agua grupo camino agua regreso bote siguiendo guia costa leones saliendo guia supieran leones podian jugueton chalecos salvavidas grupo sucedio leones nadaron bote siguieron grupo buceadores costa nadaron cerca grupo acerco cueva grupo siguio guia mirando cabeza pez guia cueva orilla bote capitan observo area botes movio bote grupos terminaria minutos grupos agua comenzaron regreso bote historias leon marino viendo tipos peces barco dirigio isla espiritu pequena cala tabla grupo deslizo atras agua arrecife coral peces nadaron area arrecife llegaron playa llamado regreso capitan barco alejo barco isla sitio detuvo minutos buzos agua vieron burbujas regresando finalmente tabla grupo buzos guias prepararon almuerzo peces buzos vinieron trajes neopreno regresaron capitan unio grupo delfines vieron saltar alto aire izquierdo capitan barco giro barco olas pies alto delfines comenzaron saltar olas jugaron olas minutos acercaron barco lados nadando lejos vista viaje leones snorkel completo esperar horas necesita chaqueta sombrero viento bote volver olvidar comer desayuno almuerzo grupo viaje abundante trajes neopreno ayudaron mantener alejada agua fria temperatura agua mala natacion leon nadar elegir bote usado trajes neopreno guias conocedor historia formas isla leones ven peces calas llamaron juntos decirnos focas entorno isla grupo gente disfruto sitios movidos bote grupos sentirian abandonados tour punto completo cerca agua saltar alto aire duda recomendaria tomarse tiempo tomar recorrido espiritu excursiones isla ven paz']"
66,78,66_servicio_amable_atento_excelente,"['servicio', 'amable', 'atento', 'excelente', 'confirmacion', 'profesionalismo', 'super', 'personal', 'experiencia', 'estancia']","['servicio', 'excelente servicio', 'excelente servicio']"
67,77,67_pescado_peces_camarones_cervezas,"['pescado', 'peces', 'camarones', 'cervezas', 'mariscos', 'almejas', 'tiburon', 'frescas', 'marisco', 'ostras']","['platos pescado papas fritas botella cerveza pescado alimentos locales pescado mercados mariscos imagen machima fusionada dividir mitad pescado exotico nucleo pescado servido plato desayuno pozas ojos pez pescado imagen panqueque artefactos cara pollo cabeza pez transformada pez tropical pez leon', 'lugar playa comio comida almuerzo volveria playa lugar pescado fresco lugares pescado', 'restaurantes pescado']"
68,74,68_piramide_izamal_subir_piramides,"['piramide', 'izamal', 'subir', 'piramides', 'cima', 'escalones', 'imponente', 'escalar', 'convento', 'kinich']","['encanto fascinado sabia existia piramide izamal esposa queria pueblo casas amarillas sabiamos convento basado piramide alto subir panorama cima hermoso guias saque den tour piramide abandonado siento deberian darle importancia cobra acceso piramide gusto', 'costo entrada subir piramide momento mantenimiento', 'pequena piramide pueblo facil subir bonita vista']"
69,73,69_parque_anfitrion_actividades_personajes,"['parque', 'anfitrion', 'actividades', 'personajes', 'atencion', 'pata', 'enfocada', 'parques', 'agradezco', 'xcaret']","['parque seguro super amigable preguntandonos horas pata encontradas increible encontrado entrada tomando fotos personajes conocimos desayuno personajes amo comida parque siento deliciosas vinieron invitanos actividades recomendar familias toman vacaciones regresan aprovechan actividades', 'experiencia parque definitivamente excelente trato personal anfitrion amable servicial', 'parque visitado creer parque practicamente parque parque correr gente parque']"
70,73,70_boda_bodas_bodadj_orlymixer,"['boda', 'bodas', 'bodadj', 'orlymixer', 'djestilo', 'djdebodas', 'internacionaldj', 'bluevenadobodas', 'bluevenado', 'novia']","['boda bella vlade mayo djdebodas boda boda bodadj planificador bodas pastel boda fiesta bodafotografia boda djestilo vida dj internacional internacionaldj bluevenadobodas bluevenado paamul playa tulum rivieramaya cancun akumal novia novio orlymixer', 'boda senora soltera mayo djdebodas boda boda bodadj planificador bodas pastel bodas bodafiesta fotografia boda djestilo vida djinternacional internacionaldj bluevenadobodas bluevenado paamul playa tulum rivieramaya cancun akumal novia novio orlymixer', 'espectaculo laser boda mayo djdebodas boda boda bodadj planificador bodas pastel bodas bodafiesta bodafotografia djestilo vida djinternacional internacionaldj bluevenadobodas bluevenado paamul playa tulum rivieramaya cancun akumal novia novio orlymixer']"
71,73,71_cementerio_sayulita_muertos_principal,"['cementerio', 'sayulita', 'muertos', 'principal', 'tranquila', 'pequena', 'playa', 'colorido', 'olas', 'escondida']","['agradable paseo corto centro cementerio local area olas ciudad playa tranquila cementerio caminar interesante', 'pequeno paseo playa limpia playa principal sayulita playa cementerio', 'vista playa sayulita paseo cementerio interesante']"
72,72,72_arquitectura_ciudad_edificio_historia,"['arquitectura', 'ciudad', 'edificio', 'historia', 'hermosa', 'historico', 'asistir', 'favela', 'arquitectonica', 'viejo']","['lugar perdio parada hermosa oferta edificio arquitectura', 'arquitectura historia ciudad hermosa asistir vale pena tiempo', 'bonito lugar arquitectura']"
73,71,73_autobus_playa_taxi_paz,"['autobus', 'playa', 'taxi', 'paz', 'corto', 'arena', 'balandra', 'viaje', 'bus', 'sillas']","['viaje isla espiritu santo paz yendo zona playa coche autobus autobus paz eligio autobus ofrece excursiones interesante viaje agua snorkel parando almuerzo reservaria clima ventoso frio divertido viento recorrido recomendaria arreglos obtener paz instalaciones playa comida primitiva excelente descanso experiencia playa agua limpia agradable general paz frio hombre playa picaron arena cerca orilla iria agua principios primavera', 'viaje isla espiritu santo paz yendo zona playa coche autobus autobus paz eligio autobus ofrece excursiones interesante viaje agua snorkel parando almuerzo reservaria clima ventoso frio divertido viento recorrido recomendaria arreglos obtener paz instalaciones playa comida primitiva excelente descanso experiencia playa agua limpia agradable general paz frio hombre playa picaron arena cerca orilla iria agua principios primavera', 'tomo taxi pareja hermosa playa vale pena tiempo viaje autobus']"
74,71,74_galeria_tema_arte_local,"['galeria', 'tema', 'arte', 'local', 'disfrutable', 'cultural', 'parada', 'curaduria', 'montado', 'nota']","['volveria pensarlo galeria arte local parada cultural disfrutable general tema limpieza supero esperado plan tranquilo mediodia semana siente llevadero vale pena sintio comodo', 'sorpresa galeria arte local parada cultural disfrutable honestamente tema ubicacion destaco familia domingo semana siente llevadero regresaria nota lugar llevado', 'viaje galeria arte local parada cultural disfrutable tema ubicacion familia mediodia semana siente llevadero recomiendo problema gente disfrutar']"
75,71,75_ninos_tirolesa_adultos_hija,"['ninos', 'tirolesa', 'adultos', 'hija', 'alumnos', 'richie', 'experiencia', 'chicos', 'pequenos', 'divertido']","['tiempo increible tirolesa anos pequeno nervioso personal increiblemente amable seguridad paciente enfocado arneses explicado camino sentirse seguro emocionado tirolesa perfecto emocion divertido suficientemente rapido sentirse aventurero aterrador pequeno sonreir tiempo pregunto momento altamente recomendar experiencia familias ninos pequenos mirando divertido momento union recuerda tiempo', 'semana alumnos auxiliar enfermeria terapeuta integral podologia preventiva visitaron casa edad cruz huanacaxtle llevando despensas donadas alumnos trabajadores instituto moctezuma cuidado preparacion darles adultos mayores atencion gracias noble actividad sparkles practicasprofesionales geriatriccare auxiliardeenfermeria podologiapreventiva terapeutaintegraldelasalud puertovallarta lacruzdehuanacaxtle', 'semana alumnos auxiliar enfermeria terapeuta integral podologia preventiva visitaron casa edad cruz huanacaxtle llevando despensas donadas alumnos trabajadores instituto moctezuma cuidado preparacion darles adultos mayores atencion gracias noble actividad sparkles practicasprofesionales geriatriccare auxiliardeenfermeria podologiapreventiva terapeutaintegraldelasalud puertovallarta lacruzdehuanacaxtle']"
